,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp,first_name,gender
14762,100409300,URN:NBN:no-nb_digibok_2020062648117,Vi var aldri brødre : roman,"Edvardsen , Pia",oai:nb.bibsys.no:999919866399502202,52c210e25e9da3796e08af3ae50a011b,,Oslo,20170101,2017,Aschehoug,nob,Søsken / Søsken,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Pia,female
14763,100608335,URN:NBN:no-nb_digibok_2021112348068,Alias,"Wekre, Eirik",oai:nb.bibsys.no:999920012984302202,5c5e151087b3b7b8d39bb47dfeb409aa,,[Oslo],2019,2019,"Goliat forlag, krimforlaget",nob,"Etterretning / Etterretning / Tønnesen, Hege (fiktiv person)",839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,"Wekre,",unknown
14771,100184333,URN:NBN:no-nb_digibok_2009061500026,Mellom to menn,"Steinslett , Kjellaug",oai:nb.bibsys.no:999913132674702202,9d73988604f38e32e614eb650c89f67f,8250941721,Oslo,19990101,1999,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Kjellaug,female
14772,100434030,URN:NBN:no-nb_digibok_2021012907525,Snille hunder kommer ikke til Sydpolen : roman,"Thyvold , Hans Olav",oai:nb.bibsys.no:999919871085702202,3e9af58540113add1f786ec2511e20c3,,Oslo,20170101,2017,Aschehoug,nob,Hunder / Hundar / Eldre / Eldre / Ensomhet / Einsemd,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Hans,male
14773,100418520,URN:NBN:no-nb_digibok_2020091607612,En intrikat vending,"Sollie , Kai Henning",oai:nb.bibsys.no:999919859888102202,2aceeca18edad9d702ed44f60e3ff490,,[Gjøvik],20160101,2016,Sollie forl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Kai,male
14775,100610484,URN:NBN:no-nb_digibok_2021121448040,Frostskrift : dikt,"Horvei, Truls",oai:nb.bibsys.no:999920049285402202,d726d85d13ec2213a3ab6f9796f271cc,,[Bergen],2020,2020,Kapabel forlag,nob,,839.82174,poetry / tekst,Skjønnlitteratur,digibok,nb,20060101,"Horvei,",unknown
14781,100583212,URN:NBN:no-nb_digibok_2021092348597,Kan vi bare late som,"Sandmo, Camilla",oai:nb.bibsys.no:999919913690502202,13535db7a108442b59419ce303290100,,Bergen,2018,2018,Vigmostad Bjørke,nob,Kjærlighet / Kjærleik / Vennskap / Vennskap / Ungdom / Ungdom,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Sandmo,",unknown
14782,100061160,URN:NBN:no-nb_digibok_2011102708128,Hun har vært her : roman,"Havnen , Oddmund",oai:nb.bibsys.no:990416779604702202,9d101adfc0a86c548b170dc508c161b2,8270832901,[Melhus],20040101,2004,Snøfugl,nob,Helgeland / lokalsamling,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Oddmund,male
14784,100430401,URN:NBN:no-nb_digibok_2020121507591,Elena,"Ellingsen , Stig",oai:nb.bibsys.no:991426791434702202,d7886c4e0817edb506cc5b9cfdfb07e7,,Sandnes,20140101,2014,Commentum forl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Stig,male
14786,100463801,URN:NBN:no-nb_digibok_2009021000027,På terskelen,"Ringen , Tone",oai:nb.bibsys.no:990012877454702202,6b6de1a8c62a8d486d9be6788cfebc6a,8254308411,[Oslo],20000101,2000,Verbum,nob,Neoplasms / Personal Narratives / kreft / erindring / barndom / sykdom / liv / død / biografi / roman / skjønnlitteratur,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Tone,male
14788,100113146,URN:NBN:no-nb_digibok_2012100106205,Svarte fugler over kornåkeren : historier om oppbrudd,"Haavardsholm , Espen",oai:nb.bibsys.no:998220529894702202,a8ddb90ad50278b647f8bb96cc63e2f4,8270942960 / 8270943045,[Oslo],19810101,1981,Oktober,nob,skjønnlitteratur/voksen / noveller, 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Espen,male
14790,100212730,URN:NBN:no-nb_digibok_2014062005004,Vi har aldri vært her før : dikt,"Dahl , Niels Fredrik",oai:nb.bibsys.no:991149903874702202,fdc6651c8398a33240e40679220b4a07,,Oslo,20110101,2011,Oktober,nob,,839.8218 / 839.82s / 839.82 / 839.821,poetry,Skjønnlitteratur,digibok,nb,20060101,Niels,male
14793,100441013,URN:NBN:no-nb_digibok_2008100104094,Et liv i dødens tid : roman,"Ustad , Willy",oai:nb.bibsys.no:999822005284702202,0cc60424c4fc6a839d22d2415599dff0,8202175054,[Oslo],19980101,1998,Cappelen,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Willy,male
14794,100475053,URN:NBN:no-nb_digibok_2008110400108,Minnetale over Hans Lasinius Midbøe,"Noreng , Harald",oai:nb.bibsys.no:990101345904702202,5c0c837c979f1297f5ac791ad6c43d99,,Oslo,20000101,2000,Det norske videnskaps-akademi,nob,Norsk litteratur / Teatervitenskap / Historisk framstilling / minneskrift / form,839.82092,,Faglitteratur,digibok,nb,20060101,Harald,male
14797,100234897,URN:NBN:no-nb_digibok_2014111008166,Kaperøya,"Scheen , Kjersti",oai:nb.bibsys.no:990220143654702202,12f083315ad3e29ced66aff458b4e133,8252534112,[Oslo],20020101,2002,Ungdomsbokklubben,nob,skjønnlitteratur / ungdom / spenning,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Kjersti,female
14799,100110685,URN:NBN:no-nb_digibok_2012092408097,Bad boy,"Faldbakken , Knut",oai:nb.bibsys.no:998821676004702202,674735d0887ff1c76395c2f0a2e53f26,8257406872 / 8205177759,Oslo,19880101,1988,Gyldendal,nob,skjønnlitteratur/voksen / roman,839.82374,novel,Skjønnlitteratur,digibok,nb,20060101,Knut,male
14800,100587802,URN:NBN:no-nb_digibok_2022020848058,Revolver i ryggen : Wild-west,"March, Danny",oai:nb.bibsys.no:991105659674702202,a86cffd9b3b6b80a4e4be29e7652b5f6,8270252956,[Oslo],1982,1982,Folke-forl.,nob,,839.93,novel,Skjønnlitteratur,digibok,nb,20060101,"March,",unknown
14802,100501753,URN:NBN:no-nb_digibok_2007112001012,Bitre blomster,"Staalesen , Gunnar",oai:nb.bibsys.no:999320557704702202,525ab73bb19714a92a2e112561d42b2b,8205219141,Oslo,19930101,1993,Gyldendal,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Gunnar,male
14803,100223405,URN:NBN:no-nb_digibok_2014090308141,Min historie,"Ingulstad , Frid",oai:nb.bibsys.no:990712990764702202,74e7a6e5984455e45bd4149c8dee4ee7,,[Oslo],20070101,2007,Damm,nob,Norsk litteratur,839.828 / 839.823,biography,Faglitteratur,digibok,nb,20060101,Frid,female
14805,100504451,URN:NBN:no-nb_digibok_2009042000101,Huset med den blinde glassveranda,"Wassmo , Herbjørg",oai:nb.bibsys.no:999706969574702202,93c03b5a7823745f3cd232b0992950bf,8205247625,Oslo,19970101,1997,Gyldendal,nob,incest,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Herbjørg,unknown
14808,100243022,URN:NBN:no-nb_digibok_2015022308001,Møtet,"Lien , Merete",oai:nb.bibsys.no:990620204804702202,63b998c8aa882017e1a64c917049a07a,8204127715,[Oslo],20060101,2006,Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Merete,female
14809,100193038,URN:NBN:no-nb_digibok_2014022106062,Prinsesse Kristina av Tunsberg : en historisk roman,"Søreide , Mia",oai:nb.bibsys.no:991012334504702202,ab189498f42c489989efbb75d2fb75ff,,Oslo,20100101,2010,Kagge,nob,Norske / historiske / romaner / Middelalderromaner / Tønsberg / Spania / Kvinner / prinsesser,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Mia,female
14810,100251983,URN:NBN:no-nb_digibok_2015060808082,Vi er tiden : møter med kvinner i skandinavisk litteratur,"Midttun , Birgitte Huitfeldt",oai:nb.bibsys.no:991115763424702202,b48da1458d5e042d608e4a4662b4fb64,,,20110101,2011,Humanist forl.,nob,Forfattere / Kvinner / Skandinavisk litteratur / skandinavisk / litteratur / biografier / kvinner / forfattere / nordisk,839.509 / 839.50409,,Faglitteratur,digibok,nb,20060101,Birgitte,female
14811,100056437,URN:NBN:no-nb_digibok_2011091906045,Mandel : roman,"Andersen , Merete Morken",oai:nb.bibsys.no:990518201024702202,a9afee9e1cddd97d9a1f450355a0ca75,8205346313,[Oslo],20050101,2005,Gyldendal,nob,norske / romaner / 2000-tallet / sjalusi / kjærlighet / barn / foreldre,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Merete,female
14813,100193349,URN:NBN:no-nb_digibok_2013111906004,Sitt ikke inne når alt håp er ute : Dag Evjenths beste (og flere av de andre),"Evjenth , Dag",oai:nb.bibsys.no:991022490404702202,9df4d5f50f4964148f7949bccfd9b541,,[Oslo],20100101,2010,Schibsted,nob,,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Dag,male
14815,100066757,URN:NBN:no-nb_digibok_2008020804077,Søylen : noveller,"Fossum , Karin",oai:nb.bibsys.no:999424013014702202,3236405dd83a918190d9f6a2681c0db3,8202147921,[Oslo],19940101,1994,Cappelen,nob,skjønnlitteratur/voksen,839.823 / 839.82,fiction,Skjønnlitteratur,digibok,nb,20060101,Karin,female
14816,100363017,URN:NBN:no-nb_digibok_2018020148128,Menneskets natur : kriminalroman,"Brekke , Jørgen",oai:nb.bibsys.no:991437056604702202,4e93ac129242256c041a0b0effe87361,,[Oslo],20140101,2014,Bestselgerforl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jørgen,male
14819,100336797,URN:NBN:no-nb_digibok_2009010704040,Flammen og rosen. 1,"Masterson , Louis",oai:nb.bibsys.no:999727116274702202,76eef0c25997ad08826b4cd4e8f3bf25,8250938151,Oslo,19970101,1997,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Louis,male
14820,100144119,URN:NBN:no-nb_digibok_2013040305121,Natt og dag : tekster og vers,"Reinertsen , Tore",oai:nb.bibsys.no:991014537794702202,df61678e650d1e0c0e1ed3bda82f8ad6,,[Oslo],20100101,2010,Kolofon,nob,,839.828,fiction,Skjønnlitteratur,digibok,nb,20060101,Tore,male
14821,100504869,URN:NBN:no-nb_digibok_2009032504016,Renhetens pris : roman,"Haff , Bergljot Hobæk",oai:nb.bibsys.no:999902702624702202,2e0241ee5f87a6eabca9e6ed47de1d2e,8205257132,[Oslo],19990101,1999,Gyldendal,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Bergljot,female
14824,100157374,URN:NBN:no-nb_digibok_2013071508177,Bergen - Kirkenes : servert på serviett,"Sandemose , Iben",oai:nb.bibsys.no:991209071194702202,a12878fe896382b4d2a51741b5674967,,,20120101,2012,Cappelen Damm,nob,norsk / litteratur / hurtigruta / bildebok / voksne,839.82 / 839.82 / 741.9481,,Faglitteratur,digibok,nb,20060101,Iben,female
14827,100347467,URN:NBN:no-nb_digibok_2017092648266,Clay Allison : døden i svart,,oai:nb.bibsys.no:991510773124702202,1a608702593c54852490d7df54bc1ae3,8272530988,Oslo,19810101,1981,Star forl.,nob,,839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,,unknown
14828,100530082,URN:NBN:no-nb_digibok_2008090104014,Livlegen : roman,"Bomann-Larsen , Tor",oai:nb.bibsys.no:999914986154702202,7f2a292fbc3064da6346f8f6fb4c857c,8202184703,[Oslo],19990101,1999,Cappelen,nob,norsk / prosa / skjønnlitteratur / russland / historie / russiske / revolusjon,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Tor,male
14829,100571176,URN:NBN:no-nb_digibok_2010031003046,Kiliasme : roman,"Willis , Herman",oai:nb.bibsys.no:999916656194702202,477c309aff9ca12634e99b5b6965e7eb,8203181937,Oslo,19990101,1999,Aschehoug,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Herman,male
14832,100613219,URN:NBN:no-nb_digibok_2021110348546,Da jeg var ingen,"Dahl, Marie Haglund",oai:nb.bibsys.no:999920001197602202,2f6ab0986256209bb3407b233fe48f77,,Sandnes,2019,2019,Forlagshuset Publica,nob,Psykiske lidelser / Psykiske lidingar,839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,"Dahl,",unknown
14836,100514462,URN:NBN:no-nb_digibok_2008071404011,Skyskrapersommer : roman,"Nilsen , Tove",oai:nb.bibsys.no:999602557104702202,686d536af7e9081f49b408b2a11a7531,8270947202 / 8257411140,Oslo,19960101,1996,Oktober,nob,ungdom / oslo / fortellinger / bøler,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Tove,female
14837,100436228,URN:NBN:no-nb_digibok_2021021007519,Uten vesentlige feil eller mangler : roman,"Skomakerstuen , Linda (Skomakerstuen , Linda Holdø)",oai:nb.bibsys.no:999919884003602202,b280b104981c0ba02c59f87b4ef0f72e,,,20170101,2017,Gyldendal,nob,Småbyer / Småbyar,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Linda,female
14838,100387500,URN:NBN:no-nb_digibok_2018072607213,Kongens råd : kriminalroman,"Karlsson , Ørjan N. (Ørjan Nordhus)",oai:nb.bibsys.no:991508496564702202,5d5c594d0b18ffffacce2837e6f66280,,[Oslo],20150101,2015,Gyldendal,nob,,839.823 / 839.82 / 327.12,novel,Skjønnlitteratur,digibok,nb,20060101,Ørjan,male
14841,100414744,URN:NBN:no-nb_digibok_2020081707002,Leiligheten : roman,"Szentiványi , Nora",oai:nb.bibsys.no:999919856076302202,d55d741c668a00ce6ecf76a1016054d2,,Oslo,20160101,2016,Oktober,nob,,839.82 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Nora,female
14843,100010699,URN:NBN:no-nb_digibok_2008030400087,Jordens skygge : roman,"Løkkeberg , Vibeke",oai:nb.bibsys.no:999520594524702202,ed4d50ebee6922502c05cad39679817c,8205232822,Oslo,19950101,1995,Gyldendal,nob,skjønnlitteratur/voksen / norske / romaner / 1990-tallet,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Vibeke,female
14844,100126537,URN:NBN:no-nb_digibok_2012110807108,Gjennom stenen,"Mevang , Liv",oai:nb.bibsys.no:998722039724702202,d3559219e038655412e9fcc8e00e2658,8203157262,Oslo,19870101,1987,Aschehoug,nob,,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Liv,female
14846,100392894,URN:NBN:no-nb_digibok_2019052107120,Barn av stormen. 10,"Lien , Merete",oai:nb.bibsys.no:991306089044702202,57ab6096ff304b56e7979b6a4e82ee64,,[Oslo],20120101,2012,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Merete,female
14847,100417386,URN:NBN:no-nb_digibok_2020090107150,Tjue : dikt,"Selmer , Sarah",oai:nb.bibsys.no:999919837295902202,3a9f062ffbab58f9db32e0a8f1d98857,,[Oslo],20160101,2016,Gyldendal,nob,,839.821,poetry,Skjønnlitteratur,digibok,nb,20060101,Sarah,female
14855,100138710,URN:NBN:no-nb_digibok_2013030505017,"Ditt liv, mitt liv ; Når noen gjør en reise : to hørespill","Simonsen , Mie Berg",oai:nb.bibsys.no:998721227864702202,2a0661ca9233bc90c61e27e2e6868d9a,8256004452,Oslo,19860101,1986,Solum,nob,,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101,Mie,female
14856,100188271,URN:NBN:no-nb_digibok_2014020408141,"Gjemt, men ikke glemt : krimnoveller","Skahjem , Randi",oai:nb.bibsys.no:990800241304702202,35f37103a094779bb87b9beec6e1b7ee,,Fredrikstad,20070101,2007,Mitt-forl.,nob,,839.823,short story,Skjønnlitteratur,digibok,nb,20060101,Randi,female
14859,100177838,URN:NBN:no-nb_digibok_2013102905111,Dikt,"Alaborg , Bernt",oai:nb.bibsys.no:990929987044702202,32fed4a0d6d3ae57526b5b6ed2a0d541,,[Oslo],20090101,2009,Kolofon,nob,,839.821,poetry,Skjønnlitteratur,digibok,nb,20060101,Bernt,male
14860,100586613,URN:NBN:no-nb_digibok_2021100648052,Flukt,"Angelsen, Trine",oai:nb.bibsys.no:999919909094002202,40b2009b7413aab4fa6b93c28eaa7d3a,,,2018,2018,Bladkompaniet,nob,Bygder / Bygder / Familie / Familie,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Angelsen,",unknown
14861,100171348,URN:NBN:no-nb_digibok_2013092606069,Hevnens lange arm,"Ustad , Willy",oai:nb.bibsys.no:990515030004702202,72afb12955b28ad5e82cabe1a1bd570e,8202244404,[Oslo],20050101,2005,Cappelen,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Willy,male
14862,100407993,URN:NBN:no-nb_digibok_2020020307066,Din for alltid,"Simonsen , Kate Helen",oai:nb.bibsys.no:991517404104702202,2ec47c8bb7bc614dd03481b17b0d072a,,[Oslo],20150101,2015,Bladkompaniet,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Kate,female
14864,100430529,URN:NBN:no-nb_digibok_2020121607585,Odd Børretzen : et langsomt liv : biografi,"Mathisen , Katrine Bjerke",oai:nb.bibsys.no:991322440714702202,0c1df347a0b8fbea4acd5c9c25031df4,,,20130101,2013,Juritzen,nob,Tegnere / Etterkrigstiden / Norsk litteratur / Forfattere,839.828 / 839.828 / 839.828,biography,Faglitteratur,digibok,nb,20060101,Katrine,female
14865,100608668,URN:NBN:no-nb_digibok_2021120748062,Mascarasøvn,"Palonen, Caroline Kaspara",oai:nb.bibsys.no:999919991383202202,853e7cc461bf8ba301745c0cd9f5cb01,,,2019,2019,Cappelen Damm,nob,Sjøreiser / Sjøreiser / Sorg / Sorg,839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,"Palonen,",unknown
14866,100159629,URN:NBN:no-nb_digibok_2013072308106,Skatten ; Løper-Stina,"Årnes , Sverre",oai:nb.bibsys.no:990501827814702202,0d313c53b36b1548cdc271fb6e9a8f8c,8204106998,[Oslo],20050101,2005,Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Sverre,male
14867,100121059,URN:NBN:no-nb_digibok_2012111406242,Vandringer i fjell og fjære,"Furuhatt , Trygve",oai:nb.bibsys.no:998221516424702202,39ab139b5397eb86af14f06abba51b00,8252302823,Trondheim,19820101,1982,Rune,nob,, 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Trygve,male
14869,100148789,URN:NBN:no-nb_digibok_2013060708027,Forbuden frukt,"Ingulstad , Frid",oai:nb.bibsys.no:991011468684702202,8e97df29c51ff8127dfd7fc6eae26bba,,[Oslo],20100101,2010,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Frid,female
14872,100409902,URN:NBN:no-nb_digibok_2020070848344,Alle elsket moren din : roman,"Brekke , Toril",oai:nb.bibsys.no:999919919871202202,17012f10de965d7c0187d4c25aecea82,,,20180101,2018,Aschehoug,nob,Familie / Familie / Barndom / Barndom,839.82374,novel / text,Skjønnlitteratur,digibok,nb,20060101,Toril,female
14873,100411914,URN:NBN:no-nb_digibok_2020072248092,Den forlatte sønn,"Ingulstad , Frid",oai:nb.bibsys.no:999919985886002202,2e7f5eb6b06175f6b76106cfb55868ee,,,20190101,2019,Cappelen Damm,nob,,839.82374,novel / text,Skjønnlitteratur,digibok,nb,20060101,Frid,female
14876,100532084,URN:NBN:no-nb_digibok_2011031505113,Brottsjø,"Torkildsen , Tor",oai:nb.bibsys.no:990018960594702202,fda2d4598bdffdcfd3900026e1bc8620,8250944232,Oslo,20000101,2000,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Tor,male
14878,100181507,URN:NBN:no-nb_digibok_2013093038090,Jolsah. Bok 4,"Eliassen , Ruben",oai:nb.bibsys.no:991215780384702202,3c179e8e70861091f2fe867d086f4ae2,,[Oslo],20120101,2012,Gyldendal,nob,barnebøker / fantastisk / litteratur / alver,028.5 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Ruben,male
14879,100390102,URN:NBN:no-nb_digibok_2018101007220,Møter mellom mennesker,"Thelle , Dag",oai:nb.bibsys.no:991323007534702202,ec9ec64cce9c0e00e7200b534ee1880b,,[Oslo],20130101,2013,Kolofon,nob,Literature / Physicians,839.823 / 839.82,short story,Skjønnlitteratur,digibok,nb,20060101,Dag,male
14880,100567727,URN:NBN:no-nb_digibok_2008072504031,I klem mellom natt og dag : dikt 1996,"Grøndahl , Cathrine",oai:nb.bibsys.no:999614196954702202,33f71b4ba06bb34bca47dc6c0262f17c,8205243158,Oslo,19960101,1996,Gyldendal,nob,,839.821,fiction,Skjønnlitteratur,digibok,nb,20060101,Cathrine,female
14882,100198203,URN:NBN:no-nb_digibok_2014040907002,Nøkkelvitnet : kriminalroman,"Horst , Jørn Lier",oai:nb.bibsys.no:991027232304702202,5b43bf87266e0c6f70c064a11aacdf9c,,[Oslo],20100101,2010,Gyldendal,nob,,839.82 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jørn,male
14885,100264334,URN:NBN:no-nb_digibok_2015072308326,Stormvær,"Lunde , Sigrid",oai:nb.bibsys.no:990903000844702202,43a5323891d1ac7f33fc242eb6e74308,,[Oslo],20090101,2009,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Sigrid,female
14889,100179053,URN:NBN:no-nb_digibok_2013112706033,Om bare : roman,"Hjorth , Vigdis",oai:nb.bibsys.no:991007318214702202,a83d3eaf3188a3fd46c172c2e5745bf6,,[Oslo],20100101,2010,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Vigdis,female
14890,100055183,URN:NBN:no-nb_digibok_2011090606059,Øyets trang til mykhet : roman,"Øen , Morten",oai:nb.bibsys.no:990507973524702202,518adc71b5f7b285fb898bb43fdb8a7a,8249503007,Oslo,20050101,2005,Oktober,nob,norsk / skjønnlitteratur / fødsel,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Morten,male
14891,100536878,URN:NBN:no-nb_digibok_2011041308162,Sangen om St. Croix : en bok om en by (1948-55),"Brantenberg , Gerd",oai:nb.bibsys.no:998320657304702202,125a66f4f23acbd3e592b2d21d7c5a1e,8252506917,[Stabekk],19820101,1982,Den Norske bokklubben,nob,skjønnlitteratur / roman / kvinnesak,839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,Gerd,male
14893,100584705,URN:NBN:no-nb_digibok_2021101948531,Maktesløs : Troskap,"Brenden, Laila",oai:nb.bibsys.no:999919933377302202,fa1440ff91e2aaf2323a21cd50aa9bf1,,,2018,2018,Bladkompaniet,nob,Bygder / Bygder / Slekter / Slekter,839.8238,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Brenden,",unknown
14894,100145777,URN:NBN:no-nb_digibok_2013042506129,De døde,"Sundstøl , Vidar",oai:nb.bibsys.no:990925885064702202,b71567ef344349f24961ce508585f2cd,,Oslo,20090101,2009,Tiden,nob,Norsk-amerikanere / krim / forente / stater / norsk-amerikanere / spenning / norske / romaner / 2000-tallet / usa / midtvesten / roman / kriminalroman,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Vidar,male
14895,100499370,URN:NBN:no-nb_digibok_2011051820004,Genanse og verdighet,"Solstad , Dag",oai:nb.bibsys.no:990715418534702202,33c243d09d49a277bcf4af12c65efc76,,[Oslo],20070101,2007,Bokklubben,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Dag,male
14896,100587484,URN:NBN:no-nb_digibok_2021111848595,Ubenektet : en kjærlighetshistorie,"Mokhtary, Farhang",oai:nb.bibsys.no:999920041882402202,5c3148b892dee64eef3d11bea1c6244c,,[Kristiansand],2019,2019,Strømme forlag,nob,,839.8238,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,"Mokhtary,",unknown
14898,100547993,URN:NBN:no-nb_digibok_2011071208030,Gymnaslærer Pedersens beretning om den store politiske vekkelsen som har hjemsøkt vårt land : roman,"Solstad , Dag",oai:nb.bibsys.no:990413322884702202,414b2a9065fd1ddd39eddcdf61559bc0,8249502302,[Oslo],20040101,2004,Oktober,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Dag,male
14899,100399726,URN:NBN:no-nb_digibok_2020040248313,Storebror,"Scott , Gabriel",oai:nb.bibsys.no:999920015596902202,09794a31d1117b8e04bb2ef6ee8f2086,,,20190101,2019,Gabriel Scott selskabet,nob,Søsken / Søsken,839.82372,novel / tekst,Skjønnlitteratur,digibok,nb,20060101,Gabriel,male
14900,100180817,URN:NBN:no-nb_digibok_2013120305105,Våkenatt,"Thorup , Torill",oai:nb.bibsys.no:991011467364702202,8e5c5988dd7ed0bab8598d5f246c7769,8251645027,[Oslo],20100101,2010,Schibsted,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Torill,female
14902,100191579,URN:NBN:no-nb_digibok_2014021306064,Honningfellen,"Lindell , Unni",oai:nb.bibsys.no:991007615934702202,6915cd2e75b94ffa6be0fea91221f37b,,Oslo,20100101,2010,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Unni,female
14905,100407201,URN:NBN:no-nb_digibok_2020060948058,Arsenikk og gamle smultringer,"Rakeng , Brit",oai:nb.bibsys.no:999919867269902202,f183559aa0ca764a7fdebfe304e148b3,,Melhus,20170101,2017,Snøfugl,nob,Bygder / Bygder,839.82 / 839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Brit,female
14906,100121243,URN:NBN:no-nb_digibok_2012111508067,En colt til señora,"Masterson , Louis",oai:nb.bibsys.no:991000602934702202,6b7c7dc0363277fa182a6a9936ca382c,,Oslo,20100101,2010,Aller forl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Louis,male
14907,100434169,URN:NBN:no-nb_digibok_2021020207559,Vinterkrone,"Nylund , Kaja",oai:nb.bibsys.no:999919825489602202,bbbc59c5f43810f6e1dc2d5e4f60fafe,,[Oslo],20150101,2015,Bladkompaniet,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Kaja,female
14910,100209550,URN:NBN:no-nb_digibok_2014061108173,Hvit som snø,"Michelet , Jon",oai:nb.bibsys.no:990312566784702202,0375283051ae303b8d80113b735081da,8252551416,[Oslo],20030101,2003,De norske bokklubbene,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Jon,male
14913,100456241,URN:NBN:no-nb_digibok_2008020604001,Villa Europa : roman,"Bjørnstad , Ketil",oai:nb.bibsys.no:999401920804702202,0e5c355c44f37d24c44b428439c4a55e,8203173853,Oslo,19940101,1994,Aschehoug,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Ketil,male
14914,100218319,URN:NBN:no-nb_digibok_2014080508058,Nemesis,"Granberg , Edith Stensby",oai:nb.bibsys.no:990712238194702202,90aab45db8d42edd3f025f8b6516d0fd,,Rasta,20070101,2007,Forl. norske bøker,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Edith,female
14916,100613199,URN:NBN:no-nb_digibok_2021021907646,Vivian : på hjemmebane,"Norman-Stormbringer, Hege",oai:nb.bibsys.no:999919880001302202,47fdb03b743752def997ea48c199a4e8,,[Bergen],2017,2017,Vigmostad Bjørke,nob,Ekteskap og parforhold / Ekteskap og parforhold / Kvinner / Kvinner / Fotball / Fotball,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,"Norman-Stormbringer,",unknown
