,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp,first_name,gender
6909,100427515,URN:NBN:no-nb_digibok_2020112407613,Før snøen kommer : roman,"Larsen , Britt Karin",oai:nb.bibsys.no:991228409414702202,6d5dff144e1ea2c3cbc107721492632a,,[Oslo],20120101,2012,Cappelen Damm,nob,norske / romaner / finnskogen / hedmark / värmland / skogfinner / 1800-tallet,839.8238 / 839.82 / 839.82 / 839.823 / 839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Britt,female
6911,100386605,URN:NBN:no-nb_digibok_2018072307195,Svart gull : spenningsroman om den svarte kaviarmafiaen,"Henriksen , Gunnar",oai:nb.bibsys.no:991217242634702202,190b83a713fbf77e5ab7c356a11484f2,,Bodø,20120101,2012,Licentia,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Gunnar,male
6912,100057172,URN:NBN:no-nb_digibok_2011091608166,Et diktet barn,"Aasprong , Monica",oai:nb.bibsys.no:991024745084702202,657a31120af335aa143bb374ef458868,,[Oslo],20100101,2010,Cappelen Damm,nob,norsk / litteratur / dikt / lyrikk / norske / 2010-tallet,839.821 / 839.8218,poetry,Skjønnlitteratur,digibok,nb,20060101,Monica,female
6913,100125889,URN:NBN:no-nb_digibok_2012120408035,Løvfallstid,"Ingulstad , Frid",oai:nb.bibsys.no:990928100634702202,9f2ae36e542c7f6d8b06966477781433,,[Oslo],20090101,2009,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Frid,female
6915,100388560,URN:NBN:no-nb_digibok_2018083107065,Strofer fra en sjel,"Gundersen , Elisabeth Sofie Wiggen",oai:nb.bibsys.no:991330839264702202,8c6083e8a158ae561ba1b67a33b38d96,,[Sandnes],20130101,2013,Publica,nob,,839.821,poetry,Skjønnlitteratur,digibok,nb,20060101,Elisabeth,female
6918,100407799,URN:NBN:no-nb_digibok_2020062348076,Menn som hater ulver,"Lenth , Lars",oai:nb.bibsys.no:999919871087402202,c7547f43959245d4b25633ab173cd555,,,20170101,2017,Kagge,nob,"Naturvern / Naturvern / Ulver / Ulvar / Vangen, Leo (fiktiv person) / Gulliksen, Rino (fiktiv person)",839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Lars,male
6919,100465042,URN:NBN:no-nb_digibok_2010030912005,"Hva med meg, da?","Sandemose , Iben",oai:nb.bibsys.no:999817855224702202,d6c73d6ff48c61fd548b41130d003a19,8202179165,[Oslo],19980101,1998,Cappelen,nob,norsk / litteratur / forelskelse / billedbøker / ungdomsbøker / barnelitteratur,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Iben,female
6921,100158496,URN:NBN:no-nb_digibok_2013071908052,Drømmespill,"Hubred , Stein Aage",oai:nb.bibsys.no:991138861604702202,a73a1911ccf0c4cc105a24f0cd19d786,,[Oslo],20110101,2011,Schibsted,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Stein,male
6922,100135181,URN:NBN:no-nb_digibok_2013022506117,Hilsen en som elsker deg ; Luft og kjærlighet ; Kyss med ketchup,"Knutsen , Per",oai:nb.bibsys.no:991010652804702202,5f7c1407f80597c79b0354707a6b6d9e,,[Oslo],20100101,2010,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Per,male
6926,100396758,URN:NBN:no-nb_digibok_2019120307132,Grenser : roman,"Jacobsen , Roy",oai:nb.bibsys.no:991505497684702202,34e72ccbed4007b5a036c44dd08410f1,,[Oslo],20150101,2015,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Roy,male
6928,100063257,URN:NBN:no-nb_digibok_2011101406110,Livskraft,"Angelsen , Trine",oai:nb.bibsys.no:991119407104702202,a7b724023aff4a56b32dd900cc33f547,,[Oslo],20110101,2011,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Trine,female
