,new_urns,author,title,year,gender,url,dhlabid
73,URN:NBN:no-nb_digibok_2012121006109,Jon Michelet,Hvit som snø,1980,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2012121006109,100124247
74,URN:NBN:no-nb_digibok_2013012907174,Ola Bauer,Rosapenna,1983,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2013012907174,100132011
75,URN:NBN:no-nb_digibok_2007101600031,Karsten Alnæs,Kom kjærlighet,1983,masc,https://www.nb.no/items/e9bb45451abc7e3f7b2005e3d64e0d4a?page=0&searchText=,100500301
76,URN:NBN:no-nb_digibok_2016090848035,Lars Saabye Christensen,Herman,1988,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2016090848035,100308816
77,URN:NBN:no-nb_digibok_2008060900109,Gert Nygårdshaug,Mengele Zoo,1989,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008060900109,100022904
78,URN:NBN:no-nb_digibok_2010111508041,Tor Åge Bringsværd,Djevelens skinn og ben,1989,masc,https://www.nb.no/items/1d43d158d6af88f044e67f721ff9ba7d?page=0&searchText=,100024118
79,URN:NBN:no-nb_digibok_2007081004049,Erik Fosnes Hansen,Salme ved reisens slutt,1990,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2007081004049,100570598
80,URN:NBN:no-nb_digibok_2007110800090,Ketil Bjørnstad,Villa Europa,1992,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2007110800090,100504647
81,URN:NBN:no-nb_digibok_2007120600048,Morten Harry Olsen,Begjærets pris,1993,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2007120600048,100108063
82,URN:NBN:no-nb_digibok_2008030704051,Tomas Espedal,Hotell Norge,1995,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008030704051,100463585
83,URN:NBN:no-nb_digibok_2008073004005,Jan Kjærstad,Erobreren,1996,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008073004005,100558471
84,URN:NBN:no-nb_digibok_2008071804003,Per Petterson,Til Sibir,1996,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008071804003,100445222
85,URN:NBN:no-nb_digibok_2008080100064,Nikolaj Frobenius,Latours katalog,1996,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008080100064,100097830
86,URN:NBN:no-nb_digibok_2008110400046,Jo Nesbø,Rødstrupe,2000,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2008110400046,100475042
87,URN:NBN:no-nb_digibok_2011062206094,Torgrim Eggen,Trynefaktoren,2003,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2011062206094,100545089
88,URN:NBN:no-nb_digibok_2009072800056,Henrik Langeland,Wonderboy,2003,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2009072800056,100270861
89,URN:NBN:no-nb_digibok_2012041706006,Levi Henriksen,Snø vil falle over snø som har falt,2004,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2012041706006,100556955
90,URN:NBN:no-nb_digibok_2011072908022,Roy Jacobsen,Frost,2004,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2011072908022,
91,URN:NBN:no-nb_digibok_2011071306066,Jonny Halberg,Gå til fjellet,2004,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2011071306066,100550165
92,URN:NBN:no-nb_digibok_2012022305023,Lars Mytting,Hestekrefter,2006,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2012022305023,100075456
93,URN:NBN:no-nb_digibok_2013100105093,Kurt Aust,De usynlige brødre,2006,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2013100105093,100172059
94,URN:NBN:no-nb_digibok_2012022305062,Jørn Lier Horst,Når havet stilner,2006,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2012022305062,100077345
95,URN:NBN:no-nb_digibok_2011071108047,Jan Chr. Næss,Det begynner med sex og ender med døden,2007,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2011071108047,100547303
96,URN:NBN:no-nb_digibok_2014111108078,Ingvar Ambjørnsen,En lang natt på jorden,2007,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2014111108078,100235550
97,URN:NBN:no-nb_digibok_2011101406084,Geir Gulliksen,Forenkling,2010,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2011101406084,100063242
98,URN:NBN:no-nb_digibok_2018061407590,Erlend Loe,Fvonk,2011,masc,https://urn.nb.no/URN:NBN:no-nb_digibok_2018061407590,100381530
99,URN:NBN:no-nb_digibok_2018061207190,Simon Stranger,Det som en gang var jord,2015,masc,https://www.nb.no/items/URN:NBN:no-nb_digibok_2018061207190,100380582
